time,c1,q1,axis1_deg,c2,q2,axis2_deg,c3,q3,axis3_deg,c4,q4,axis4_deg
580,-14740.0,1.0,0.0,17640.0,1.0,0.0,17750.0,1.0,0.0,-15750.0,1.0,0.0
600,-14740.0,1.0,0.0,17710.0,1.0,0.0,17780.0,1.0,0.0,-15630.0,1.0,0.0
620,-14760.0,1.0,0.0,17850.0,1.0,0.0,17630.0,1.0,0.0,-15660.0,1.0,0.0
640,-14910.0,1.0,0.0,17860.0,1.0,0.0,17580.0,1.0,0.0,-15620.0,1.0,0.0
660,-14950.0,1.0,0.0,17980.0,1.0,0.0,17770.0,1.0,0.0,-15690.0,1.0,0.0
680,-15050.0,1.0,0.0,17970.0,1.0,0.0,17630.0,1.0,0.0,-15760.0,1.0,0.0
700,-15040.0,1.0,0.0,17880.0,1.0,0.0,17680.0,1.0,0.0,-15750.0,1.0,0.0
720,-15050.0,1.0,0.0,17830.0,1.0,0.0,17720.0,1.0,0.0,-15740.0,1.0,0.0
740,-15030.0,1.0,0.0,17730.0,1.0,0.0,17750.0,1.0,0.0,-15710.0,1.0,0.0
760,-15000.0,1.0,0.0,17760.0,1.0,0.0,17670.0,1.0,0.0,-15730.0,1.0,0.0
780,-15030.0,1.0,0.0,17680.0,1.0,0.0,17540.0,1.0,0.0,-15790.0,1.0,0.0
800,-14960.0,1.0,0.0,17570.0,1.0,0.0,17680.0,1.0,0.0,-15650.0,1.0,0.0
820,-14990.0,1.0,0.0,17500.0,1.0,0.0,17550.0,1.0,0.0,-15670.0,1.0,0.0
840,-14920.0,1.0,0.0,17420.0,1.0,0.0,17580.0,1.0,0.0,-15750.0,1.0,0.0
860,-14930.0,1.0,0.0,17450.0,1.0,0.0,17610.0,1.0,0.0,-15780.0,1.0,0.0
880,-14980.0,1.0,0.0,17490.0,1.0,0.0,17570.0,1.0,0.0,-15670.0,1.0,0.0
900,-15030.0,1.0,0.0,17450.0,1.0,0.0,17680.0,1.0,0.0,-15840.0,1.0,0.0
920,-15080.0,1.0,0.0,17420.0,1.0,0.0,17620.0,1.0,0.0,-15760.0,1.0,0.0
940,-15000.0,1.0,0.0,17450.0,1.0,0.0,17710.0,1.0,0.0,-15770.0,1.0,0.0
960,-14990.0,1.0,0.0,17560.0,1.0,0.0,17510.0,1.0,0.0,-15790.0,1.0,0.0
980,-15090.0,1.0,0.0,17550.0,1.0,0.0,17400.0,1.0,0.0,-15860.0,1.0,0.0
1000,-14970.0,1.0,0.0,17550.0,1.0,0.0,17370.0,1.0,0.0,-15920.0,1.0,0.0
1020,-15080.0,1.0,0.0,17520.0,1.0,0.0,17380.0,1.0,0.0,-15820.0,1.0,0.0
1040,-15050.0,1.0,0.0,17380.0,1.0,0.0,17430.0,1.0,0.0,-15770.0,1.0,0.0
1060,-15010.0,1.0,0.0,17470.0,1.0,0.0,17340.0,1.0,0.0,-15800.0,1.0,0.0
1080,-14930.0,1.0,0.0,17410.0,1.0,0.0,17490.0,1.0,0.0,-15840.0,1.0,0.0
1100,-15000.0,1.0,0.0,17420.0,1.0,0.0,17570.0,1.0,0.0,-15960.0,1.0,0.0
1120,-15010.0,1.0,0.0,17570.0,1.0,0.0,17340.0,1.0,0.0,-15930.0,1.0,0.0
1140,-15140.0,1.0,0.0,17500.0,1.0,0.0,17490.0,1.0,0.0,-15950.0,1.0,0.0
1160,-15200.0,1.0,0.0,17390.0,1.0,0.0,17560.0,1.0,0.0,-15910.0,1.0,0.0
1180,-15250.0,1.0,0.0,17360.0,1.0,0.0,17560.0,1.0,0.0,-16030.0,1.0,0.0
1200,-15380.0,1.0,0.0,17330.0,1.0,0.0,17480.0,1.0,0.0,-15850.0,1.0,0.0
1220,-15450.0,1.0,0.0,17360.0,1.0,0.0,17420.0,1.0,0.0,-15910.0,1.0,0.0
1240,-15420.0,1.0,0.0,17350.0,1.0,0.0,17370.0,1.0,0.0,-16010.0,1.0,0.0
1260,-15420.0,1.0,0.0,17330.0,1.0,0.0,17430.0,1.0,0.0,-16090.0,1.0,0.0
1280,-15300.0,1.0,0.0,17430.0,1.0,0.0,17460.0,1.0,0.0,-16040.0,1.0,0.0
1300,-15290.0,1.0,0.0,17460.0,1.0,0.0,17470.0,1.0,0.0,-15990.0,1.0,0.0
1320,-15210.0,1.0,0.0,17470.0,1.0,0.0,17570.0,1.0,0.0,-15890.0,1.0,0.0
1340,-15200.0,1.0,0.0,17490.0,1.0,0.0,17620.0,1.0,0.0,-15840.0,1.0,0.0
1360,-15110.0,1.0,0.0,17520.0,1.0,0.0,17500.0,1.0,0.0,-15840.0,1.0,0.0
1380,-15080.0,1.0,0.0,17580.0,1.0,0.0,17590.0,1.0,0.0,-15920.0,1.0,0.0
1400,-15100.0,1.0,0.0,17600.0,1.0,0.0,17670.0,1.0,0.0,-16030.0,1.0,0.0
1420,-15140.0,1.0,0.0,17500.0,1.0,0.0,17590.0,1.0,0.0,-16040.0,1.0,0.0
1440,-15150.0,1.0,0.0,17440.0,1.0,0.0,17650.0,1.0,0.0,-15950.0,1.0,0.0
1460,-15230.0,1.0,0.0,17480.0,1.0,0.0,17570.0,1.0,0.0,-16010.0,1.0,0.0
1480,-15270.0,1.0,0.0,17570.0,1.0,0.0,17670.0,1.0,0.0,-16050.0,1.0,0.0
1500,-15290.0,1.0,0.0,17600.0,1.0,0.0,17660.0,1.0,0.0,-16030.0,1.0,0.0
1520,-15290.0,1.0,0.0,17610.0,1.0,0.0,17500.0,1.0,0.0,-16030.0,1.0,0.0
1540,-15370.0,1.0,0.0,17560.0,1.0,0.0,17530.0,1.0,0.0,-15930.0,1.0,0.0
1560,-15190.0,1.0,0.0,17550.0,1.0,0.0,17620.0,1.0,0.0,-16000.0,1.0,0.0
1580,-15130.0,1.0,0.0,17390.0,1.0,0.0,17550.0,1.0,0.0,-16030.0,1.0,0.0
1600,-15120.0,1.0,0.0,17420.0,1.0,0.0,17530.0,1.0,0.0,-16010.0,1.0,0.0
1620,-15170.0,1.0,0.0,17400.0,1.0,0.0,17410.0,1.0,0.0,-16010.0,1.0,0.0
1640,-15120.0,1.0,0.0,17480.0,1.0,0.0,17460.0,1.0,0.0,-16050.0,1.0,0.0
1660,-15100.0,1.0,0.0,17470.0,1.0,0.0,17500.0,1.0,0.0,-15990.0,1.0,0.0
1680,-15150.0,1.0,0.0,17520.0,1.0,0.0,17620.0,1.0,0.0,-15980.0,1.0,0.0
1700,-15220.0,1.0,0.0,17530.0,1.0,0.0,17630.0,1.0,0.0,-16040.0,1.0,0.0
1720,-15230.0,1.0,0.0,17610.0,1.0,0.0,17590.0,1.0,0.0,-16050.0,1.0,0.0
