time,c1,q1,axis1_deg,c2,q2,axis2_deg
6100,3780.0,0.949999988079071,80.0,-3490.0,0.949999988079071,120.0
6120,3740.0,0.949999988079071,60.0,-3510.0,0.949999988079071,120.0
6140,3720.0,0.949999988079071,40.0,-3560.0,0.949999988079071,120.0
6160,3800.0,0.949999988079071,40.0,-3590.0,0.949999988079071,140.0
6180,3760.0,0.8999999761581421,40.0,-3540.0,0.8999999761581421,120.0
6200,3750.0,0.8999999761581421,60.0,-3600.0,0.8999999761581421,20.0
6220,3730.0,0.949999988079071,40.0,-3590.0,1.0,0.0
6240,3810.0,0.949999988079071,60.0,-3560.0,0.8999999761581421,100.0
6260,3920.0,0.8999999761581421,20.0,-3430.0,0.949999988079071,100.0
6280,3730.0,0.949999988079071,80.0,-3520.0,0.949999988079071,100.0
6300,3710.0,0.949999988079071,40.0,-3520.0,0.949999988079071,120.0
6320,3640.0,0.949999988079071,100.0,-3540.0,0.949999988079071,100.0
6340,3750.0,0.949999988079071,40.0,-3520.0,0.8999999761581421,120.0
6360,3740.0,0.949999988079071,100.0,-3590.0,0.8999999761581421,80.0
6380,3830.0,0.8999999761581421,40.0,-3580.0,0.8500000238418579,120.0
6400,3860.0,0.8999999761581421,60.0,-3620.0,0.949999988079071,40.0
6420,3800.0,0.949999988079071,60.0,-3600.0,0.949999988079071,20.0
6440,3770.0,0.949999988079071,80.0,-3540.0,0.8999999761581421,60.0
6460,3730.0,0.949999988079071,100.0,-3520.0,0.949999988079071,120.0
6480,3650.0,0.8999999761581421,40.0,-3580.0,0.949999988079071,120.0
6500,3690.0,0.949999988079071,60.0,-3560.0,0.949999988079071,60.0
6520,3760.0,0.949999988079071,60.0,-3550.0,0.8500000238418579,0.0
6540,3770.0,0.949999988079071,60.0,-3500.0,0.949999988079071,140.0
6560,3710.0,0.949999988079071,20.0,-3540.0,0.949999988079071,40.0
6580,3730.0,0.8999999761581421,40.0,-3560.0,0.8500000238418579,80.0
6600,3740.0,0.949999988079071,20.0,-3610.0,1.0,0.0
6620,3830.0,0.949999988079071,60.0,-3550.0,0.8999999761581421,20.0
6640,3830.0,0.949999988079071,100.0,-3510.0,0.8999999761581421,80.0
