time,c1,q1,axis1_deg,c2,q2,axis2_deg,c3,q3,axis3_deg,c4,q4,axis4_deg
1520,16550.0,1.0,0.0,-16890.0,1.0,0.0,-16660.0,1.0,0.0,16390.0,1.0,0.0
1540,16430.0,1.0,0.0,-17030.0,1.0,0.0,-16860.0,1.0,0.0,16410.0,1.0,0.0
1560,16580.0,1.0,0.0,-17120.0,1.0,0.0,-16840.0,1.0,0.0,16490.0,1.0,0.0
1580,16570.0,1.0,0.0,-17060.0,1.0,0.0,-16770.0,1.0,0.0,16730.0,1.0,0.0
1600,16700.0,1.0,0.0,-17070.0,1.0,0.0,-16760.0,1.0,0.0,16860.0,1.0,0.0
1620,16800.0,1.0,0.0,-16960.0,1.0,0.0,-16570.0,1.0,0.0,16930.0,1.0,0.0
1640,16820.0,1.0,0.0,-16860.0,1.0,0.0,-16300.0,1.0,0.0,17020.0,1.0,0.0
1660,16800.0,1.0,0.0,-16690.0,1.0,0.0,-16250.0,1.0,0.0,17150.0,1.0,0.0
1680,16900.0,1.0,0.0,-16590.0,1.0,0.0,-16090.0,1.0,0.0,17270.0,1.0,0.0
1700,16930.0,1.0,0.0,-16610.0,1.0,0.0,-15940.0,1.0,0.0,17290.0,1.0,0.0
1720,17030.0,1.0,0.0,-16440.0,1.0,0.0,-15750.0,1.0,0.0,17260.0,1.0,0.0
1740,17200.0,1.0,0.0,-16350.0,1.0,0.0,-15670.0,1.0,0.0,17340.0,1.0,0.0
1760,17310.0,1.0,0.0,-16340.0,1.0,0.0,-15550.0,1.0,0.0,17310.0,1.0,0.0
1780,17210.0,1.0,0.0,-16460.0,1.0,0.0,-15500.0,1.0,0.0,17360.0,1.0,0.0
1800,17300.0,1.0,0.0,-16320.0,1.0,0.0,-15410.0,1.0,0.0,17430.0,1.0,0.0
1820,17420.0,1.0,0.0,-16140.0,1.0,0.0,-15550.0,1.0,0.0,17400.0,1.0,0.0
1840,17420.0,1.0,0.0,-16150.0,1.0,0.0,-15520.0,1.0,0.0,17500.0,1.0,0.0
1860,17380.0,1.0,0.0,-16220.0,1.0,0.0,-15410.0,1.0,0.0,17460.0,1.0,0.0
