time,c1,q1,axis1_deg,c2,q2,axis2_deg,c3,q3,axis3_deg,c4,q4,axis4_deg
2700,16850.0,1.0,0.0,-17010.0,1.0,0.0,-16530.0,1.0,0.0,16990.0,1.0,0.0
2720,16920.0,1.0,0.0,-17060.0,1.0,0.0,-16480.0,1.0,0.0,16850.0,1.0,0.0
2740,17060.0,1.0,0.0,-16950.0,1.0,0.0,-16330.0,1.0,0.0,16810.0,1.0,0.0
2760,17080.0,1.0,0.0,-16840.0,1.0,0.0,-16240.0,1.0,0.0,16610.0,1.0,0.0
2780,17040.0,1.0,0.0,-17000.0,1.0,0.0,-16240.0,1.0,0.0,16550.0,1.0,0.0
2800,17020.0,1.0,0.0,-16850.0,1.0,0.0,-16220.0,1.0,0.0,16460.0,1.0,0.0
2820,17010.0,1.0,0.0,-16830.0,1.0,0.0,-16180.0,1.0,0.0,16410.0,1.0,0.0
2840,16980.0,1.0,0.0,-16890.0,1.0,0.0,-16230.0,1.0,0.0,16510.0,1.0,0.0
2860,16910.0,1.0,0.0,-16870.0,1.0,0.0,-16270.0,1.0,0.0,16380.0,1.0,0.0
2880,16900.0,1.0,0.0,-16920.0,1.0,0.0,-16330.0,1.0,0.0,16340.0,1.0,0.0
2900,16890.0,1.0,0.0,-16940.0,1.0,0.0,-16310.0,1.0,0.0,16430.0,1.0,0.0
2920,16880.0,1.0,0.0,-16920.0,1.0,0.0,-16320.0,1.0,0.0,16520.0,1.0,0.0
2940,16950.0,1.0,0.0,-16900.0,1.0,0.0,-16360.0,1.0,0.0,16550.0,1.0,0.0
2960,16860.0,1.0,0.0,-17050.0,1.0,0.0,-16400.0,1.0,0.0,16530.0,1.0,0.0
2980,16830.0,1.0,0.0,-16960.0,1.0,0.0,-16450.0,1.0,0.0,16470.0,1.0,0.0
3000,16860.0,1.0,0.0,-17140.0,1.0,0.0,-16460.0,1.0,0.0,16560.0,1.0,0.0
3020,16770.0,1.0,0.0,-17250.0,1.0,0.0,-16450.0,1.0,0.0,16510.0,1.0,0.0
