time,c1,q1,axis1_deg,c2,q2,axis2_deg,c3,q3,axis3_deg,c4,q4,axis4_deg
1540,16900.0,1.0,0.0,-16760.0,1.0,0.0,-16260.0,1.0,0.0,16520.0,1.0,0.0
1560,16740.0,1.0,0.0,-16790.0,1.0,0.0,-16330.0,1.0,0.0,16450.0,1.0,0.0
1580,16690.0,1.0,0.0,-16730.0,1.0,0.0,-16240.0,1.0,0.0,16530.0,1.0,0.0
1600,16740.0,1.0,0.0,-16600.0,1.0,0.0,-16240.0,1.0,0.0,16540.0,1.0,0.0
1620,16800.0,1.0,0.0,-16620.0,1.0,0.0,-16140.0,1.0,0.0,16530.0,1.0,0.0
1640,16860.0,1.0,0.0,-16470.0,1.0,0.0,-16090.0,1.0,0.0,16470.0,1.0,0.0
1660,16830.0,1.0,0.0,-16580.0,1.0,0.0,-16180.0,1.0,0.0,16400.0,1.0,0.0
1680,16810.0,1.0,0.0,-16510.0,1.0,0.0,-16130.0,1.0,0.0,16600.0,1.0,0.0
1700,16850.0,1.0,0.0,-16510.0,1.0,0.0,-16090.0,1.0,0.0,16520.0,1.0,0.0
1720,16840.0,1.0,0.0,-16460.0,1.0,0.0,-16100.0,1.0,0.0,16480.0,1.0,0.0
1740,16870.0,1.0,0.0,-16530.0,1.0,0.0,-16060.0,1.0,0.0,16480.0,1.0,0.0
1760,16930.0,1.0,0.0,-16510.0,1.0,0.0,-15920.0,1.0,0.0,16580.0,1.0,0.0
1780,17050.0,1.0,0.0,-16470.0,1.0,0.0,-15910.0,1.0,0.0,16540.0,1.0,0.0
1800,17130.0,1.0,0.0,-16350.0,1.0,0.0,-15810.0,1.0,0.0,16590.0,1.0,0.0
1820,17070.0,1.0,0.0,-16390.0,1.0,0.0,-15790.0,1.0,0.0,16640.0,1.0,0.0
1840,17050.0,1.0,0.0,-16490.0,1.0,0.0,-15920.0,1.0,0.0,16760.0,1.0,0.0
1860,17020.0,1.0,0.0,-16470.0,1.0,0.0,-16000.0,1.0,0.0,16770.0,1.0,0.0
1880,16960.0,1.0,0.0,-16500.0,1.0,0.0,-15850.0,1.0,0.0,16650.0,1.0,0.0
1900,17030.0,1.0,0.0,-16390.0,1.0,0.0,-15880.0,1.0,0.0,16630.0,1.0,0.0
1920,17060.0,1.0,0.0,-16420.0,1.0,0.0,-15790.0,1.0,0.0,16600.0,1.0,0.0
1940,17070.0,1.0,0.0,-16410.0,1.0,0.0,-15900.0,1.0,0.0,16580.0,1.0,0.0
1960,17000.0,1.0,0.0,-16370.0,1.0,0.0,-16070.0,1.0,0.0,16680.0,1.0,0.0
1980,17040.0,1.0,0.0,-16430.0,1.0,0.0,-16040.0,1.0,0.0,16730.0,1.0,0.0
2000,17060.0,1.0,0.0,-16350.0,1.0,0.0,-15810.0,1.0,0.0,16690.0,1.0,0.0
2020,17060.0,1.0,0.0,-16460.0,1.0,0.0,-15980.0,1.0,0.0,16710.0,1.0,0.0
2040,16990.0,1.0,0.0,-16470.0,1.0,0.0,-15980.0,1.0,0.0,16500.0,1.0,0.0
