time,c1,q1,axis1_deg,c2,q2,axis2_deg,c3,q3,axis3_deg,c4,q4,axis4_deg
2060,17960.0,1.0,0.0,-16740.0,1.0,0.0,-16380.0,1.0,0.0,17870.0,1.0,0.0
2080,17880.0,1.0,0.0,-16770.0,1.0,0.0,-16460.0,1.0,0.0,17770.0,1.0,0.0
2100,17710.0,1.0,0.0,-16620.0,1.0,0.0,-16440.0,1.0,0.0,17690.0,1.0,0.0
2120,17570.0,1.0,0.0,-16790.0,1.0,0.0,-16470.0,1.0,0.0,17570.0,1.0,0.0
2140,17520.0,1.0,0.0,-16750.0,1.0,0.0,-16380.0,1.0,0.0,17640.0,1.0,0.0
2160,17710.0,1.0,0.0,-16660.0,1.0,0.0,-16200.0,1.0,0.0,17530.0,1.0,0.0
2180,17650.0,1.0,0.0,-16630.0,1.0,0.0,-16290.0,1.0,0.0,17490.0,1.0,0.0
2200,17590.0,1.0,0.0,-16800.0,1.0,0.0,-16280.0,1.0,0.0,17310.0,1.0,0.0
2220,17590.0,1.0,0.0,-16910.0,1.0,0.0,-16590.0,1.0,0.0,17310.0,1.0,0.0
2240,17610.0,1.0,0.0,-16880.0,1.0,0.0,-16290.0,1.0,0.0,17250.0,1.0,0.0
2260,17560.0,1.0,0.0,-16890.0,1.0,0.0,-16370.0,1.0,0.0,17380.0,1.0,0.0
2280,17420.0,1.0,0.0,-16770.0,1.0,0.0,-16420.0,1.0,0.0,17240.0,1.0,0.0
2300,17420.0,1.0,0.0,-16730.0,1.0,0.0,-16520.0,1.0,0.0,17370.0,1.0,0.0
2320,17530.0,1.0,0.0,-16720.0,1.0,0.0,-16480.0,1.0,0.0,17430.0,1.0,0.0
2340,17460.0,1.0,0.0,-16760.0,1.0,0.0,-16360.0,1.0,0.0,17260.0,1.0,0.0
2360,17300.0,1.0,0.0,-16860.0,1.0,0.0,-16530.0,1.0,0.0,17220.0,1.0,0.0
2380,17580.0,1.0,0.0,-16800.0,1.0,0.0,-16370.0,1.0,0.0,17100.0,1.0,0.0
2400,17640.0,1.0,0.0,-16830.0,1.0,0.0,-16220.0,1.0,0.0,17190.0,1.0,0.0
2420,17460.0,1.0,0.0,-16780.0,1.0,0.0,-16070.0,1.0,0.0,17310.0,1.0,0.0
2440,17390.0,1.0,0.0,-16810.0,1.0,0.0,-16310.0,1.0,0.0,17320.0,1.0,0.0
