time,c1,q1,axis1_deg
4620,1930.0,1.0,0.0
4640,1880.0,1.0,0.0
4660,1960.0,1.0,0.0
4680,1900.0,1.0,0.0
4700,1940.0,1.0,0.0
4720,1900.0,1.0,0.0
4740,1930.0,1.0,0.0
4760,1930.0,1.0,0.0
4780,1990.0,1.0,0.0
4800,1900.0,1.0,0.0
4820,1990.0,1.0,0.0
4840,1910.0,1.0,0.0
4860,1910.0,1.0,0.0
4880,1930.0,1.0,0.0
4900,1940.0,1.0,0.0
4920,1930.0,1.0,0.0
4940,1930.0,1.0,0.0
4960,1890.0,1.0,0.0
4980,1900.0,1.0,0.0
5000,1960.0,1.0,0.0
5020,1940.0,1.0,0.0
5040,1990.0,1.0,0.0
5060,1860.0,1.0,0.0
5080,1970.0,1.0,0.0
5100,1990.0,1.0,0.0
5120,1930.0,1.0,0.0
5140,1910.0,1.0,0.0
5160,1970.0,1.0,0.0
5180,1980.0,1.0,0.0
5200,1900.0,1.0,0.0
5220,1950.0,1.0,0.0
5240,1910.0,1.0,0.0
5260,1900.0,1.0,0.0
5280,1880.0,1.0,0.0
5300,1930.0,1.0,0.0
5320,1890.0,1.0,0.0
5340,1900.0,1.0,0.0
5360,1890.0,1.0,0.0
5380,1930.0,1.0,0.0
5400,1950.0,1.0,0.0
5420,1900.0,1.0,0.0
5440,1890.0,1.0,0.0
5460,1940.0,1.0,0.0
5480,1880.0,1.0,0.0
5500,1900.0,1.0,0.0
5520,1910.0,1.0,0.0
5540,1920.0,1.0,0.0
5560,1900.0,1.0,0.0
5580,1980.0,1.0,0.0
5600,1920.0,1.0,0.0
5620,1930.0,1.0,0.0
5640,1920.0,1.0,0.0
5660,1920.0,1.0,0.0
5680,1930.0,1.0,0.0
5700,1920.0,1.0,0.0
5720,1900.0,1.0,0.0
5740,1970.0,1.0,0.0
5760,1950.0,1.0,0.0
5780,1940.0,1.0,0.0
5800,1900.0,1.0,0.0
5820,1940.0,1.0,0.0
5840,1900.0,1.0,0.0
5860,1930.0,1.0,0.0
5880,1900.0,1.0,0.0
5900,1940.0,1.0,0.0
5920,1910.0,1.0,0.0
5940,1930.0,1.0,0.0
5960,1860.0,1.0,0.0
5980,1910.0,1.0,0.0
6000,1880.0,1.0,0.0
6020,1980.0,1.0,0.0
6040,1940.0,1.0,0.0
6060,1920.0,1.0,0.0
6080,1890.0,1.0,0.0
6100,1910.0,1.0,0.0
6120,1950.0,1.0,0.0
6140,1910.0,1.0,0.0
6160,1920.0,1.0,0.0
6180,1950.0,1.0,0.0
6200,1930.0,1.0,0.0
6220,1910.0,1.0,0.0
6240,1930.0,1.0,0.0
6260,1910.0,1.0,0.0
6280,1930.0,1.0,0.0
6300,1960.0,1.0,0.0
6320,1910.0,1.0,0.0
6340,1920.0,1.0,0.0
6360,1910.0,1.0,0.0
6380,1920.0,1.0,0.0
6400,1910.0,1.0,0.0
6420,1890.0,1.0,0.0
6440,1920.0,1.0,0.0
6460,1900.0,1.0,0.0
6480,1950.0,1.0,0.0
6500,1940.0,1.0,0.0
6520,1880.0,1.0,0.0
6540,1960.0,1.0,0.0
